,renko_bricks,renko_dates,renko_size,renko_volumes,minx,maxx,miny,maxy
0,6138.9,2008-01-01 09:55:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
1,6128.9,2008-01-01 09:56:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
2,6118.9,2008-01-01 09:58:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
3,6128.9,2008-01-01 10:45:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
4,6138.9,2008-01-01 12:10:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
5,6148.9,2008-01-01 13:00:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
6,6138.9,2008-01-01 14:13:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
7,6128.9,2008-01-01 14:33:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
8,6118.9,2008-01-01 14:35:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
9,6128.9,2008-01-01 14:54:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
10,6138.9,2008-01-01 15:14:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
11,6148.9,2008-01-01 15:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
12,6158.9,2008-01-01 15:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
13,6148.9,2008-01-02 10:20:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
14,6138.9,2008-01-02 10:21:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
15,6128.9,2008-01-02 10:22:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
16,6118.9,2008-01-02 10:22:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
17,6108.9,2008-01-02 10:27:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
18,6098.9,2008-01-02 10:28:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
19,6088.9,2008-01-02 10:34:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
20,6078.9,2008-01-02 10:34:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
21,6088.9,2008-01-02 11:01:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
22,6078.9,2008-01-02 11:27:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
23,6068.9,2008-01-02 11:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
24,6078.9,2008-01-02 12:00:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
25,6088.9,2008-01-02 12:16:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
26,6098.9,2008-01-02 12:52:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
27,6108.9,2008-01-02 13:17:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
28,6118.9,2008-01-02 13:53:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
29,6128.9,2008-01-02 13:58:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
30,6138.9,2008-01-02 14:12:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
31,6148.9,2008-01-02 14:19:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
32,6158.9,2008-01-02 14:22:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
33,6168.9,2008-01-02 14:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
34,6178.9,2008-01-02 14:35:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
35,6168.9,2008-01-02 15:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
36,6158.9,2008-01-02 15:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
37,6148.9,2008-01-02 15:29:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
38,6158.9,2008-01-03 09:58:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
39,6168.9,2008-01-03 10:10:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
40,6178.9,2008-01-03 10:16:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
41,6188.9,2008-01-03 10:22:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
42,6198.9,2008-01-03 11:24:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
43,6208.9,2008-01-03 11:32:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
44,6198.9,2008-01-03 12:39:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
45,6188.9,2008-01-03 12:42:00+00:00,10,,-0.9998631261976457,7305.999863126198,2258.8999999999996,6348.9
