Date,Open,High,Low,Close
2008-01-01 09:55,6138.6,6154.6,6138.6,6148.9
2008-01-01 09:56,6149.75,6149.75,6132.8,6132.8
2008-01-01 09:57,6138.25,6138.25,6127.95,6127.95
2008-01-01 09:58,6127.15,6127.15,6120.9,6120.9
2008-01-01 09:59,6118.05,6118.05,6113.55,6113.9
2008-01-01 10:00,6114.05,6123.35,6114.05,6123.35
2008-01-01 10:01,6125.7,6126.65,6124.2,6124.2
2008-01-01 10:02,6123.6,6125.6,6122.85,6124.65
2008-01-01 10:03,6124.85,6126.05,6121.9,6121.9
2008-01-01 10:04,6121.15,6121.15,6111.35,6111.35
2008-01-01 10:05,6110.5,6114.35,6110.5,6114.35
2008-01-01 10:06,6115.85,6123.85,6115.85,6123.85
2008-01-01 10:07,6124.65,6125.8,6124.65,6125.2
2008-01-01 10:08,6125.85,6128.9,6125.85,6128.9
2008-01-01 10:09,6128.5,6130.65,6128.5,6128.9
2008-01-01 10:10,6128.7,6130.15,6128.6,6129.45
2008-01-01 10:11,6128.7,6128.7,6126.5,6127.4
2008-01-01 10:12,6125.75,6125.75,6123.15,6123.6
2008-01-01 10:13,6124.15,6125.3,6123.8,6124.25
2008-01-01 10:14,6123.65,6124.0,6123.25,6123.55
2008-01-01 10:15,6124.85,6125.85,6123.45,6125.65
2008-01-01 10:16,6126.65,6128.15,6125.8,6128.15
2008-01-01 10:17,6129.1,6131.15,6128.8,6130.55
2008-01-01 10:18,6130.75,6131.65,6129.95,6130.0
2008-01-01 10:19,6130.65,6131.9,6129.85,6131.55
2008-01-01 10:20,6132.2,6134.45,6132.2,6132.85
2008-01-01 10:21,6132.8,6132.8,6130.35,6131.05
2008-01-01 10:22,6129.65,6130.7,6128.7,6129.0
2008-01-01 10:23,6129.75,6130.3,6129.35,6130.0
2008-01-01 10:24,6130.15,6131.3,6130.15,6131.2
2008-01-01 10:25,6132.25,6133.3,6132.25,6132.3
2008-01-01 10:26,6132.5,6134.3,6132.5,6132.9
2008-01-01 10:27,6133.35,6133.4,6132.5,6133.2
2008-01-01 10:28,6133.15,6134.25,6133.0,6133.85
2008-01-01 10:29,6134.4,6134.85,6134.2,6134.45
2008-01-01 10:30,6134.85,6135.35,6134.35,6135.3
2008-01-01 10:31,6135.25,6135.85,6135.0,6135.0
2008-01-01 10:32,6135.55,6135.7,6134.75,6135.15
2008-01-01 10:33,6135.35,6136.85,6135.35,6135.9
2008-01-01 10:34,6135.65,6135.65,6133.25,6133.55
2008-01-01 10:35,6133.0,6133.35,6131.35,6131.35
2008-01-01 10:36,6131.2,6132.1,6128.5,6128.5
2008-01-01 10:37,6128.15,6128.3,6126.6,6128.3
2008-01-01 10:38,6128.45,6129.1,6128.1,6128.2
2008-01-01 10:39,6129.2,6129.2,6128.0,6129.2
2008-01-01 10:40,6130.0,6131.05,6130.0,6130.6
2008-01-01 10:41,6130.85,6132.35,6130.85,6131.6
2008-01-01 10:42,6132.2,6132.2,6131.3,6131.5
2008-01-01 10:43,6130.85,6131.65,6130.8,6131.55
2008-01-01 10:44,6131.55,6132.55,6131.4,6132.35
2008-01-01 10:45,6133.3,6135.65,6133.3,6135.4
2008-01-01 10:46,6135.4,6139.15,6135.4,6138.95
2008-01-01 10:47,6139.35,6140.9,6139.35,6140.1
2008-01-01 10:48,6141.0,6141.05,6139.55,6141.05
2008-01-01 10:49,6141.2,6143.15,6141.2,6143.15
2008-01-01 10:50,6142.7,6143.05,6140.85,6140.85
2008-01-01 10:51,6140.5,6140.5,6138.8,6139.15
2008-01-01 10:52,6138.8,6138.8,6136.15,6136.15
2008-01-01 10:53,6136.4,6137.55,6136.3,6137.55
2008-01-01 10:54,6138.05,6139.35,6137.75,6138.3
2008-01-01 10:55,6137.95,6139.4,6137.95,6139.05
2008-01-01 10:56,6139.45,6140.15,6138.4,6140.15
2008-01-01 10:57,6140.5,6141.0,6139.55,6140.6
2008-01-01 10:58,6140.35,6140.4,6138.35,6138.35
2008-01-01 10:59,6136.85,6137.4,6135.3,6135.3
2008-01-01 11:00,6136.15,6136.4,6133.05,6133.05
2008-01-01 11:01,6133.55,6133.55,6129.85,6129.85
2008-01-01 11:02,6129.9,6130.3,6128.9,6130.3
2008-01-01 11:03,6130.05,6131.6,6129.65,6131.6
2008-01-01 11:04,6130.15,6132.4,6130.15,6132.25
2008-01-01 11:05,6132.7,6134.05,6132.7,6133.5
2008-01-01 11:06,6133.9,6134.85,6133.35,6134.85
2008-01-01 11:07,6134.9,6135.5,6134.7,6134.85
2008-01-01 11:08,6134.75,6135.75,6134.75,6135.7
2008-01-01 11:09,6135.75,6137.1,6135.75,6137.1
2008-01-01 11:10,6137.7,6138.4,6137.6,6138.15
2008-01-01 11:11,6138.35,6138.35,6137.15,6137.8
2008-01-01 11:12,6137.3,6137.9,6136.85,6137.9
2008-01-01 11:13,6138.05,6139.75,6138.05,6139.75
2008-01-01 11:14,6139.05,6139.05,6137.9,6138.0
2008-01-01 11:15,6137.0,6137.3,6134.95,6135.45
2008-01-01 11:16,6135.85,6137.05,6135.85,6137.05
2008-01-01 11:17,6137.6,6138.3,6137.4,6137.65
2008-01-01 11:18,6137.9,6138.55,6137.9,6138.45
2008-01-01 11:19,6138.05,6138.55,6138.05,6138.5
2008-01-01 11:20,6138.6,6139.2,6138.2,6139.2
2008-01-01 11:21,6139.35,6140.25,6138.7,6140.05
2008-01-01 11:22,6140.15,6140.4,6139.1,6139.1
2008-01-01 11:23,6139.4,6139.4,6138.3,6138.6
2008-01-01 11:24,6138.4,6138.9,6136.8,6136.8
2008-01-01 11:25,6136.7,6136.7,6135.1,6135.1
2008-01-01 11:26,6135.15,6135.15,6133.5,6133.5
2008-01-01 11:27,6132.75,6133.0,6132.15,6132.7
