renko_bricks,renko_dates,renko_size,renko_volumes,minx,maxx,miny,maxy
2989.5,2009-01-01 10:51:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
2999.5,2009-01-01 14:04:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3009.5,2009-01-01 14:05:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3019.5,2009-01-01 14:22:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3029.5,2009-01-01 14:34:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3039.5,2009-01-01 15:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3049.5,2009-01-01 15:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3039.5,2009-01-02 10:11:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3049.5,2009-01-02 11:06:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3039.5,2009-01-02 11:53:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3049.5,2009-01-02 12:26:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3059.5,2009-01-02 13:35:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3069.5,2009-01-02 13:53:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3059.5,2009-01-02 15:03:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3049.5,2009-01-02 15:05:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3059.5,2009-01-02 15:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3069.5,2009-01-02 15:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3079.5,2009-01-02 15:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3089.5,2009-01-05 11:11:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3079.5,2009-01-05 12:51:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3089.5,2009-01-05 13:14:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3099.5,2009-01-05 15:01:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3109.5,2009-01-05 15:02:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3119.5,2009-01-05 15:08:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3129.5,2009-01-05 15:21:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3139.5,2009-01-06 12:49:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3129.5,2009-01-06 13:41:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3119.5,2009-01-06 13:44:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3109.5,2009-01-06 13:46:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3099.5,2009-01-06 13:52:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3089.5,2009-01-06 14:18:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3079.5,2009-01-06 14:20:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3069.5,2009-01-06 14:25:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3079.5,2009-01-06 14:52:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3089.5,2009-01-06 14:59:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3099.5,2009-01-06 15:05:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3109.5,2009-01-06 15:12:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3119.5,2009-01-06 15:19:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3129.5,2009-01-06 15:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3139.5,2009-01-07 09:55:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3129.5,2009-01-07 10:17:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3119.5,2009-01-07 10:39:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3109.5,2009-01-07 10:40:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3099.5,2009-01-07 10:45:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3109.5,2009-01-07 11:08:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3099.5,2009-01-07 11:18:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3089.5,2009-01-07 11:22:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3079.5,2009-01-07 11:24:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3069.5,2009-01-07 11:29:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3059.5,2009-01-07 11:30:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3049.5,2009-01-07 11:32:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3039.5,2009-01-07 11:41:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3029.5,2009-01-07 11:42:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3019.5,2009-01-07 11:43:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3009.5,2009-01-07 11:44:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
3019.5,2009-01-07 11:49:00+00:00,10,,-0.9997306760032318,3712.9997306760033,2559.5,5229.5
